"Schema","Schema.URL","Schema.ERD.URL","Table","Table.URL","Column.name","Data.type","Default.value","Value.constraint","Default.constraint","Identity","Nullable","Description"
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","abs_limit","numeric","","",,"false","true","Handles the disk quota absolute limit on content. The content in the course may not exceed this limit. Expressed in bytes."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","collapsible_ind","char(1)","'Y'","indicator43
                   Y
                                  
                   N",,"false","false","Determines whether or not the Course Menu can be consolidated to show just the top headings or expanded to show subheads. This field is not used. Original intention: This flag determines whether or not users of a course should be allowed to 'collapse' (slide into the side) the navigation links which appear on the left hand side of the course page."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","asmt_upgrade_version","numeric","0","",,"false","false","The assessment data has to go through a number of runtime upgrade steps before assessments are usable in a course.  This field records the current upgrade-state of the assessments data within this course."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","data_src_pk1","id","2","",,"false","false","This is a foreign key referencing the primary key of the [AS_CORE].data_source table."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/stats/course_main.html","pace","char(1)","'I'","course_main_pace_ck
                   I
                                  
                   S",,"false","false",""
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","cartridge_pk1","id","","",,"false","true","This is a foreign key referencing the primary key of the [AS_CORE].cartridge table. It is the course cartridge that is used for the course."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/stats/course_main.html","service_level","char(1)","'F'","course_main_srvc_lvl_ck
                   F
                                  
                   C
                                  
                   R
                                  
                   T
                                  
                   S
                                  
                   L",,"false","false","This is the service_level set for the course.
        F = Full/Free Course
        C = Community (Organization)
        R = Registered Course
        T = Test Drive
        S = System
        L = System"
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","asmt_upgrade_flags","numeric","0","",,"false","false","After any import or restore operation the asmt_upgrade_version is set back to 0 and any new data re-upgraded.  There are certain parts of the upgrade which do not have to run in this case (i.e. the upgrade is only required once per course, not after each import operation).  This field is used to store those flags to avoid re-running pieces of the upgrade"
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","classifications_pk1","id","113","",,"false","true","This is a foreign key referencing the primary key of the [AS_CORE].classifications table. This determines the classification (subject area and the discipline) of the course."
"as_core","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/schema-as_core.html","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/images/as_core.png","course_main","http://library.blackboard.com/ref/4c77996d-4fdd-451f-afc6-7f7884f3726d/tables/as_core/course_main.html","honor_term_avail_ind","char(1)","'N'","course_main_hnr_trm_av_ck
                   Y
                                  
                   N",,"false","true","if Y then use the term for available_ind; if N then use those fields from this table. (Note that duration implicitly affects availability through fields such as startdate and enddate but those are only controlled by the term when course.duration=T)"
